tradeId,orderId,customerID,ISIN,CUSIP,sym,side,qty,px,tradeDate,tradeTS,ccy,venue,instrType,liqBucket,desk,sourceSystem
TRD0000031,ORD0002175,CLT0339,USG5SIWKEK51,G5SIWKEK5,ATFD,BUY,3638.0,101.8018,2025-10-21,2025-10-21 15:15:33,USD,OTC,SWAP,MED,FI-STRUCT,OMS_B
TRD0000034,ORD0018296,CLT0478,USGL3VF36F53,GL3VF36F5,WPHK,BUY,1350.0,101.2567,2025-10-21,2025-10-21 15:54:05,USD,TRACE,BOND,MED,FI-MUNI,OMS_A
TRD0000035,ORD0001887,CLT0089,USLXEVL5QF75,LXEVL5QF7,ULQG,BUY,687.0,101.2642,2025-10-21,2025-10-21 15:35:01,USD,ARCA,BOND,MED,FI-MUNI,OMS_A
TRD0000036,ORD0009675,CLT0412,USI50Z8KDK39,I50Z8KDK3,RACI,BUY,791.0,96.1613,2025-10-21,2025-10-21 18:15:02,USD,ARCA,OPTION,HIGH,FI-MUNI,OMS_A
TRD0000037,ORD0015475,CLT0426,US60EPA84289,60EPA8428,ZGL,SELL,1898.0,105.901,2025-10-21,2025-10-21 16:51:51,EUR,OTC,BOND,HIGH,FI-MUNI,OMS_A
TRD0000038,ORD0007743,CLT0362,US6BETAFSO68,,TWYC,SELL,1107.0,98.2552,2025-10-21,2025-10-21 17:14:55,USD,TRACE,BOND,MED,FI-MUNI,OMS_A
TRD0000039,ORD0003093,CLT0013,USC7NXKGU477,C7NXKGU47,AYTV,SELL,2775.0,102.3322,2025-10-21,2025-10-21 17:11:23,USD,TRACE,BOND,MED,FI-MUNI,OMS_B
TRD0000040,ORD0016022,CLT0041,USLR3W2PIF63,LR3W2PIF6,YLV,SELL,1398.0,105.3585,2025-10-21,2025-10-21 14:40:27,JPY,TRACE,OPTION,HIGH,FI-MUNI,OMS_A
TRD0000041,ORD0013629,CLT0354,,KRW2MS2I4,JDEV,BUY,2597.0,101.1127,2025-10-21,2025-10-21 15:37:21,USD,OTC,BOND,MED,FI-HY,OMS_A
TRD0000042,ORD0004222,CLT0377,US79355V8T62,79355V8T6,VDWM,SELL,2247.0,96.9454,2025-10-21,2025-10-21 14:54:07,USD,NYSE,OPTION,LOW,FI-MUNI,OMS_B
TRD0000043,,CLT0128,USTLWVTAMX13,TLWVTAMX1,LZY,SELL,3161.0,94.4358,2025-10-21,2025-10-21 18:28:23,USD,TRACE,OPTION,MED,,OMS_B
TRD0000044,ORD0010149,CLT0155,US9UUMOKA604,9UUMOKA60,BGYM,BUY,2389.0,102.7315,2025-10-21,2025-10-21 16:36:04,USD,TRACE,BOND,MED,FI-IG,OMS_A
TRD0000045,ORD0015224,,US7J4VSU9S46,7J4VSU9S4,DPE,SELL,2410.0,100.6594,2025-10-21,2025-10-21 17:46:38,USD,OTC,SWAP,LOW,FI-RATES,OMS_B
TRD0000046,ORD0012879,CLT0238,USPL96T10D46,PL96T10D4,KSO,SELL,2037.0,103.9125,2025-10-21,2025-10-21 15:27:42,USD,NYSE,BOND,HIGH,FI-HY,OMS_B
TRD0000047,ORD0011969,CLT0393,USE9DMCQI130,E9DMCQI13,TRN,BUY,3069.0,99.3912,2025-10-21,2025-10-21 19:53:11,USD,OTC,SWAP,HIGH,FI-MUNI,OMS_A
TRD0000048,ORD0013045,CLT0053,USE1Z9L2VC93,E1Z9L2VC9,VSP,BUY,2180.0,107.7557,2025-10-21,2025-10-21 18:22:47,USD,OTC,FUTURE,LOW,FI-IG,OMS_A
TRD0000049,ORD0012326,CLT0302,USRX3KO1W256,RX3KO1W25,JQTF,SELL,938.0,95.018,2025-10-21,2025-10-21 13:47:57,USD,ARCA,REPO,HIGH,FI-MUNI,OMS_A
TRD0000050,ORD0015066,CLT0135,USOZHB11CQ20,,CLM,BUY,2324.0,100.5821,2025-10-21,2025-10-21 14:56:59,USD,TRACE,BOND,HIGH,FI-RATES,OMS_A
TRD0000051,ORD0003835,CLT0427,USDTLDQ40550,DTLDQ4055,SOCI,SELL,1186.0,105.0219,2025-10-21,2025-10-21 19:11:33,USD,TRACE,FUTURE,HIGH,FI-MUNI,OMS_A
TRD0000052,ORD0003129,CLT0128,USWVW3DMI540,WVW3DMI54,BYLK,BUY,2535.0,103.9936,2025-10-21,2025-10-21 18:26:46,USD,OTC,BOND,LOW,FI-MUNI,OMS_A
TRD0000053,ORD0016652,CLT0380,,79355V8T6,VDWM,SELL,1866.0,103.3478,2025-10-21,2025-10-21 17:06:57,USD,OTC,OPTION,LOW,FI-STRUCT,OMS_A
TRD0000054,ORD0010257,CLT0275,USPZFF9DVJ52,PZFF9DVJ5,BMG,BUY,2623.0,95.6218,2025-10-21,2025-10-21 14:08:45,USD,NYSE,BOND,MED,FI-HY,OMS_A
TRD0000055,ORD0016995,CLT0046,USJCVZLKUP84,JCVZLKUP8,FDOG,SELL,642.0,100.9635,2025-10-21,2025-10-21 14:23:03,USD,TRACE,BOND,HIGH,FI-HY,OMS_A
TRD0000056,ORD0006304,CLT0378,US4U0H7WD510,4U0H7WD51,PZHX,BUY,2352.0,100.6079,2025-10-21,2025-10-21 15:59:05,EUR,TRACE,SWAP,HIGH,FI-HY,OMS_B
TRD0000057,ORD0000867,CLT0369,USCSOS0E1998,CSOS0E199,IDE,SELL,2198.0,95.4934,2025-10-21,2025-10-21 19:05:41,USD,TRACE,BOND,MED,FI-IG,OMS_B
TRD0000058,ORD0013107,CLT0224,USIEG4N4G634,IEG4N4G63,LMIZ,SELL,764.0,99.4481,2025-10-21,2025-10-21 16:51:22,USD,TRACE,BOND,MED,FI-MUNI,OMS_A
TRD0000059,ORD0019525,CLT0127,USBRCP2Y6C37,BRCP2Y6C3,EVD,SELL,1923.0,111.1759,2025-10-21,2025-10-21 19:38:09,USD,OTC,,HIGH,FI-HY,OMS_A
TRD0000060,ORD0004058,CLT0410,USPBK47IW165,PBK47IW16,GKN,SELL,816.0,100.5631,2025-10-21,2025-10-21 13:32:05,USD,,BOND,HIGH,FI-IG,OMS_A
TRD0000061,ORD0018048,CLT0139,USI5B6JU7E29,I5B6JU7E2,JGWM,BUY,3987.0,98.0481,2025-10-21,2025-10-21 16:57:21,USD,TRACE,SWAP,HIGH,FI-IG,OMS_A
TRD0000062,,CLT0138,USVI7GZ9IB54,VI7GZ9IB5,HUC,BUY,2238.0,103.8972,2025-10-21,2025-10-21 17:35:12,JPY,NYSE,BOND,MED,FI-IG,OMS_A
TRD0000063,ORD0002234,CLT0468,USBAYKTTE305,BAYKTTE30,LEWR,SELL,1627.0,111.8359,2025-10-21,2025-10-21 19:56:06,USD,BATS,FUTURE,HIGH,FI-HY,OMS_B
TRD0000064,ORD0002470,CLT0191,USVMES24DL26,VMES24DL2,PGE,BUY,546.0,102.4745,2025-10-21,2025-10-21 18:34:43,USD,NYSE,OPTION,MED,FI-HY,OMS_A
TRD0000065,ORD0006071,CLT0196,US22R4YEVP18,22R4YEVP1,FMFE,BUY,1358.0,100.5259,2025-10-21,2025-10-21 18:11:07,GBP,TRACE,BOND,HIGH,FI-HY,OMS_B
TRD0000066,ORD0019707,CLT0342,US0824S5UG42,0824S5UG4,SOJJ,SELL,709.0,92.8272,2025-10-21,2025-10-21 18:30:46,USD,BATS,OPTION,MED,FI-MUNI,OMS_A
TRD0000067,ORD0008848,CLT0391,USC97T78W339,,QTA,SELL,2580.0,98.9377,2025-10-21,2025-10-21 18:49:09,USD,OTC,BOND,MED,FI-IG,OMS_B
TRD0000068,ORD0009543,CLT0422,USOUI9O64P20,OUI9O64P2,GCA,BUY,1821.0,101.5366,2025-10-21,2025-10-21 15:33:23,USD,NYSE,BOND,LOW,FI-MUNI,OMS_A
TRD0000069,ORD0005567,CLT0448,US6IGMTVO885,6IGMTVO88,HNT,BUY,1688.0,91.8754,2025-10-21,2025-10-21 14:09:34,USD,OTC,BOND,LOW,FI-STRUCT,OMS_A
TRD0000070,ORD0010186,CLT0010,USD20XA06293,D20XA0629,IZU,BUY,2406.0,97.1993,2025-10-21,2025-10-21 19:24:35,USD,BATS,BOND,HIGH,FI-STRUCT,OMS_A
TRD0000071,ORD0008619,CLT0439,USQOIXDSBV48,QOIXDSBV4,RKR,BUY,2118.0,97.7928,2025-10-21,2025-10-21 18:31:55,USD,OTC,FUTURE,MED,FI-MUNI,OMS_A
TRD0000072,ORD0005041,CLT0270,US9XHA6PTJ66,9XHA6PTJ6,LALQ,SELL,768.0,,2025-10-21,2025-10-21 14:15:38,GBP,BATS,FUTURE,LOW,FI-IG,OMS_B
TRD0000073,ORD0010293,CLT0434,US7FN9SR4455,,QST,SELL,1645.0,88.3447,2025-10-21,,USD,TRACE,BOND,MED,FI-RATES,OMS_B
TRD0000074,ORD0010829,CLT0207,US03E1WNQP99,03E1WNQP9,XJTH,BUY,3528.0,108.9674,2025-10-21,2025-10-21 14:43:55,USD,OTC,BOND,HIGH,FI-HY,OMS_B
TRD0000075,ORD0007160,CLT0204,US33GPJSHV20,33GPJSHV2,AXK,SELL,2785.0,113.3596,2025-10-21,2025-10-21 18:03:01,USD,NYSE,BOND,HIGH,FI-RATES,OMS_A
TRD0000076,ORD0005176,CLT0261,USE63TH1C602,E63TH1C60,UQPJ,SELL,1411.0,94.3306,2025-10-21,2025-10-21 16:13:56,USD,OTC,BOND,MED,FI-RATES,OMS_A
TRD0000077,ORD0002728,CLT0088,USJEMPIWJV46,JEMPIWJV4,QUSW,SELL,1949.0,90.2212,2025-10-21,2025-10-21 18:38:12,USD,TRACE,BOND,,FI-MUNI,OMS_A
TRD0000078,ORD0002821,CLT0440,USJZGV57L707,JZGV57L70,KSIP,SELL,4499.0,96.8398,2025-10-21,2025-10-21 13:30:43,EUR,NYSE,BOND,HIGH,FI-MUNI,
TRD0000079,ORD0000162,CLT0108,USIQ4673JW44,IQ4673JW4,VDY,SELL,5263.0,96.3446,2025-10-21,2025-10-21 16:54:14,USD,TRACE,BOND,HIGH,FI-STRUCT,OMS_A
TRD0000080,ORD0016582,CLT0179,USOU4YV6IG90,OU4YV6IG9,CPEL,SELL,1986.0,107.6694,2025-10-21,2025-10-21 18:11:21,USD,OTC,BOND,MED,FI-IG,OMS_A
TRD0000081,ORD0006693,CLT0344,USWZAQGP7926,WZAQGP792,JBUU,SELL,1448.0,101.4951,2025-10-21,2025-10-21 16:34:01,USD,ARCA,BOND,HIGH,FI-RATES,OMS_A
TRD0000082,ORD0012018,CLT0400,USLNPTQ6QZ15,LNPTQ6QZ1,NSRC,BUY,1725.0,103.0675,2025-10-21,2025-10-21 19:35:53,USD,ARCA,BOND,HIGH,FI-IG,OMS_A
TRD0000083,ORD0002774,CLT0455,USUN24BPYC78,UN24BPYC7,VXRL,SELL,1016.0,110.6415,2025-10-21,2025-10-21 17:14:27,USD,TRACE,BOND,HIGH,FI-MUNI,OMS_B
TRD0000084,ORD0014638,CLT0039,USI50Z8KDK39,I50Z8KDK3,RACI,BUY,733.0,97.3874,2025-10-21,2025-10-21 15:42:17,EUR,BATS,OPTION,HIGH,FI-IG,OMS_A
TRD0000085,ORD0016799,CLT0079,USXGX2QCF414,XGX2QCF41,RCGP,SELL,590.0,106.5773,2025-10-21,2025-10-21 15:26:26,,ARCA,OPTION,MED,FI-RATES,OMS_B
TRD0000087,ORD0003051,CLT0230,USBMMOQX8485,BMMOQX848,WKW,SELL,2450.0,99.0937,2025-10-21,2025-10-21 18:34:26,USD,TRACE,BOND,MED,FI-RATES,OMS_A
TRD0000088,ORD0009831,CLT0115,USHIRV2SN083,HIRV2SN08,ODVN,SELL,2516.0,107.87,2025-10-21,2025-10-21 18:19:33,USD,TRACE,,HIGH,FI-IG,OMS_B
TRD0000089,ORD0007030,CLT0468,US00LCK5N862,,EKR,BUY,1107.0,102.2971,2025-10-21,2025-10-21 16:41:29,USD,BATS,BOND,HIGH,FI-RATES,OMS_A
TRD0000090,ORD0004311,CLT0039,,RRCI5TQN4,CMSC,SELL,2038.0,96.8325,2025-10-21,2025-10-21 16:26:07,GBP,OTC,SWAP,MED,FI-MUNI,OMS_B
TRD0000091,ORD0016269,CLT0154,USSB0UC8J830,SB0UC8J83,WUZ,SELL,1046.0,99.3951,2025-10-21,2025-10-21 14:14:01,USD,OTC,BOND,LOW,FI-IG,OMS_A
TRD0000092,ORD0017745,CLT0280,USIXC2DRAO64,IXC2DRAO6,RQC,SELL,3658.0,90.0659,2025-10-21,2025-10-21 17:08:02,USD,TRACE,BOND,HIGH,FI-IG,OMS_A
TRD0000093,ORD0018879,CLT0379,USWV9Q8Y4210,WV9Q8Y421,OUA,BUY,2485.0,97.6404,2025-10-21,2025-10-21 16:00:05,EUR,TRACE,BOND,MED,FI-RATES,OMS_B
TRD0000094,ORD0005145,CLT0164,USAOT2MECP02,AOT2MECP0,KNKO,SELL,2450.0,106.31,2025-10-21,2025-10-21 15:15:16,EUR,NYSE,,HIGH,FI-HY,OMS_B
TRD0000095,ORD0014991,CLT0424,USB9PSAAWU79,B9PSAAWU7,SHN,SELL,1637.0,102.461,2025-10-21,2025-10-21 13:50:49,USD,OTC,BOND,MED,FI-IG,OMS_B
TRD0000096,ORD0017823,CLT0381,,TE475Z1K3,SLUE,BUY,2451.0,97.0554,2025-10-21,2025-10-21 13:40:56,USD,OTC,OPTION,MED,FI-MUNI,OMS_A
TRD0000097,ORD0007555,CLT0210,USH1E8PWBR08,H1E8PWBR0,YMN,SELL,965.0,98.0129,2025-10-21,2025-10-21 18:51:17,USD,ARCA,FUTURE,HIGH,FI-IG,OMS_A
TRD0000098,ORD0005698,CLT0368,USKUBOSK2I30,KUBOSK2I3,MXP,SELL,4354.0,98.5109,2025-10-21,2025-10-21 16:40:15,USD,NYSE,BOND,HIGH,FI-HY,OMS_A
TRD0000099,ORD0010265,CLT0420,,NY3E4FMM9,ZZI,BUY,2388.0,97.6377,2025-10-21,2025-10-21 17:25:07,EUR,OTC,BOND,MED,FI-HY,OMS_A
TRD0000100,ORD0019790,CLT0478,,,MEFB,SELL,1422.0,99.0072,2025-10-21,2025-10-21 18:53:35,USD,OTC,BOND,HIGH,FI-IG,OMS_A
TRD0000101,ORD0014304,CLT0428,USRPSOG99X71,RPSOG99X7,BHNS,SELL,11021.0,100.1535,2025-10-21,2025-10-21 19:33:59,USD,TRACE,OPTION,LOW,FI-RATES,OMS_B
TRD0000102,ORD0010077,CLT0109,US5W4XPREF52,5W4XPREF5,JPH,SELL,2231.0,104.2653,2025-10-21,2025-10-21 13:41:52,USD,,FUTURE,MED,FI-HY,OMS_A
TRD0000103,ORD0006533,CLT0370,US27LXUYQE37,27LXUYQE3,MDH,SELL,2778.0,99.0203,2025-10-21,2025-10-21 16:04:45,USD,TRACE,REPO,HIGH,FI-RATES,OMS_A
TRD0000104,ORD0009450,CLT0203,USGTN3GAZT99,GTN3GAZT9,MGEY,BUY,3081.0,100.42,2025-10-21,2025-10-21 19:05:08,USD,TRACE,BOND,HIGH,FI-HY,OMS_B
TRD0000105,ORD0011696,CLT0155,USYK1WFS0017,YK1WFS001,FDI,BUY,1872.0,101.2273,2025-10-21,2025-10-21 19:12:09,USD,OTC,BOND,MED,FI-RATES,OMS_A
TRD0000106,ORD0002233,CLT0101,USBZUT4T8C44,BZUT4T8C4,QEK,BUY,2214.0,105.9927,2025-10-21,2025-10-21 17:59:29,USD,OTC,,MED,FI-RATES,OMS_B
TRD0000107,ORD0008106,,US90GZJLG206,,VSVM,BUY,1317.0,99.9836,2025-10-21,2025-10-21 19:58:48,USD,,BOND,MED,FI-IG,OMS_B
TRD0000108,ORD0019991,CLT0128,USDG34VPD151,DG34VPD15,BNER,SELL,1842.0,103.0404,2025-10-21,2025-10-21 15:11:51,USD,OTC,BOND,MED,FI-RATES,OMS_A
TRD0000109,ORD0007344,CLT0041,USM8CZZWYJ35,M8CZZWYJ3,RWCG,BUY,1577.0,96.8123,2025-10-21,2025-10-21 19:36:59,USD,BATS,SWAP,HIGH,FI-MUNI,OMS_A
TRD0000110,ORD0004752,CLT0024,USIEM6TFSJ96,IEM6TFSJ9,PHZ,BUY,1857.0,101.9895,2025-10-21,2025-10-21 19:17:30,EUR,OTC,REPO,LOW,FI-STRUCT,OMS_A
TRD0000111,ORD0016159,CLT0010,USAER9EH2A57,AER9EH2A5,SGUL,SELL,3175.0,100.8426,2025-10-21,2025-10-21 14:23:41,USD,OTC,BOND,HIGH,FI-IG,OMS_A
TRD0000112,ORD0018614,CLT0401,US0R7OUCSA13,0R7OUCSA1,YEO,BUY,1361.0,106.3,2025-10-21,2025-10-21 16:07:08,USD,OTC,SWAP,LOW,FI-RATES,OMS_A
TRD0000113,ORD0001281,CLT0396,USVMES24DL26,VMES24DL2,PGE,SELL,957.0,96.3684,2025-10-21,2025-10-21 17:34:46,USD,ARCA,OPTION,MED,FI-HY,OMS_A
TRD0000114,ORD0000379,CLT0065,US9P3MI7RZ50,,CPRS,SELL,2231.0,104.0648,2025-10-21,2025-10-21 19:41:29,USD,NYSE,SWAP,MED,FI-MUNI,OMS_A
TRD0000115,ORD0002142,CLT0266,USSYU5LP8302,SYU5LP830,DKV,SELL,1275.0,111.6572,2025-10-21,2025-10-21 18:24:15,EUR,BATS,SWAP,HIGH,FI-STRUCT,OMS_B
TRD0000116,ORD0016431,CLT0222,US1Z9DMZMB65,1Z9DMZMB6,RRFE,BUY,1174.0,105.2782,2025-10-21,2025-10-21 18:11:42,USD,BATS,,LOW,FI-HY,OMS_A
TRD0000117,ORD0010084,CLT0272,USZMXDK6EF76,ZMXDK6EF7,FNQW,SEL,1139.0,95.5901,2025-10-21,2025-10-21 13:46:18,USD,OTC,BOND,MED,FI-IG,
TRD0000118,ORD0014518,CLT0286,USRQB21CSA95,RQB21CSA9,GZC,SELL,1404.0,102.5484,2025-10-21,2025-10-21 18:33:03,GBP,OTC,BOND,LOW,FI-RATES,OMS_A
TRD0000119,ORD0001336,CLT0363,US482IE04586,482IE0458,JHG,BUY,2086.0,107.6281,2025-10-21,2025-10-21 18:47:36,USD,TRACE,BOND,HIGH,FI-RATES,OMS_A
TRD0000120,ORD0014712,CLT0387,USGOMPMT1B07,GOMPMT1B0,EPVK,SELL,1652.0,96.2146,2025-10-21,2025-10-21 19:31:19,GBP,OTC,SWAP,HIGH,FI-MUNI,OMS_B
TRD0000121,ORD0019825,CLT0201,USTH8737ID41,TH8737ID4,DDWK,SELL,3069.0,104.3124,2025-10-21,2025-10-21 14:06:53,USD,BATS,SWAP,HIGH,FI-IG,OMS_A
TRD0000122,ORD0003080,CLT0251,US7KPJA7NO84,7KPJA7NO8,DOUG,SELL,4042.0,101.9035,2025-10-21,2025-10-21 13:57:53,GBP,ARCA,SWAP,MED,FI-MUNI,OMS_B
TRD0000123,ORD0002101,CLT0487,USUHHRIQ4I47,UHHRIQ4I4,SRV,SELL,2131.0,101.2539,2025-10-21,2025-10-21 14:43:23,JPY,TRACE,BOND,HIGH,,OMS_A
TRD0000124,ORD0007361,CLT0184,USOC49N86806,OC49N8680,SZCE,SELL,1665.0,94.6571,2025-10-21,2025-10-21 14:13:30,USD,TRACE,BOND,MED,FI-STRUCT,OMS_A
TRD0000125,ORD0011932,CLT0189,USCSBVP4J437,CSBVP4J43,TNCM,BUY,333.0,94.7629,2025-10-21,2025-10-21 14:42:51,USD,OTC,BOND,HIGH,FI-IG,OMS_A
TRD0000126,ORD0013188,CLT0353,USKK9IMEST93,KK9IMEST9,AYR,BUY,1922.0,91.6337,2025-10-21,2025-10-21 16:11:11,USD,TRACE,SWAP,HIGH,FI-RATES,OMS_B
TRD0000127,ORD0010785,CLT0382,US9I5E4IRL98,,STPU,BUY,1944.0,102.4327,2025-10-21,2025-10-21 14:00:04,USD,TRACE,SWAP,MED,FI-MUNI,OMS_A
TRD0000128,ORD0016695,CLT0306,USGL1ES9IH17,GL1ES9IH1,TJW,BUY,2975.0,97.856,2025-10-21,2025-10-21 14:54:52,USD,OTC,REPO,MED,FI-STRUCT,OMS_B
TRD0000129,ORD0000659,CLT0320,US35OX2E4365,35OX2E436,ACEP,BUY,4816.0,92.3719,2025-10-21,2025-10-21 17:46:12,USD,TRACE,BOND,MED,FI-MUNI,OMS_A
TRD0000130,ORD0004938,CLT0374,USMFK27PAY06,MFK27PAY0,ZCC,BUY,1025.0,105.175,2025-10-21,2025-10-21 17:44:33,USD,TRACE,OPTION,HIGH,FI-HY,OMS_B
TRD0000131,ORD0016661,CLT0202,,RZQ4NI855,MULK,SELL,1831.0,95.9572,2025-10-21,2025-10-21 14:15:32,EUR,TRACE,REPO,MED,FI-MUNI,OMS_A
TRD0000132,ORD0005074,CLT0282,USITTTUMWX66,,SNV,SELL,561.0,99.4238,2025-10-21,2025-10-21 18:18:24,USD,OTC,BOND,MED,FI-IG,OMS_A
TRD0000133,ORD0018033,CLT0315,USFT44FKMN50,FT44FKMN5,EETC,BUY,1916.0,91.8822,2025-10-21,2025-10-21 18:36:21,USD,TRACE,BOND,MED,FI-MUNI,OMS_B
TRD0000134,ORD0003000,CLT0407,US65719AVH25,65719AVH2,TTAZ,BUY,2046.0,104.1685,2025-10-21,2025-10-21 18:39:00,USD,OTC,BOND,MED,FI-IG,OMS_B
TRD0000135,ORD0013517,CLT0465,,PYNCG5AH2,KEZE,SELL,3096.0,110.0972,2025-10-21,2025-10-21 13:44:11,USD,TRACE,BOND,MED,FI-MUNI,OMS_A
TRD0000136,ORD0005151,CLT0302,USE8ZUS81Z90,E8ZUS81Z9,UFG,SELL,1883.0,102.9069,2025-10-21,2025-10-21 17:33:33,USD,OTC,FUTURE,MED,FI-RATES,OMS_A
