trade_id,order_id,client_id,isin,cusip,symbol,side,quantity,price,trade_date,trade_ts,currency,venue,instrument_type,liquidity_bucket,desk,source_system,risk_tier_x,region_x,notional,symbol_pm,instrument_type_pm,risk_tier_y,region_y,risk_tier,region
TRD0000023,ORD0011247,CLT0388,,PNT6AKZR7,PYL,SELL,992,98.2735,2025-10-21,2025-10-21T13:54:14Z,EUR,NYSE,BOND,HIGH,FI-MUNI,OMS_A,,,97487.312,,,LOW,EMEA,,
TRD0000024,ORD0019705,CLT0309,US5RUGTBKG61,5RUGTBKG6,MTW,BUY,1580,105.1957,2025-10-21,2025-10-21T16:31:36Z,USD,NYSE,OPTION,MED,FI-MUNI,OMS_A,,,166209.206,MTW,OPTION,HIGH,,,
TRD0000025,ORD0019147,CLT0149,USE7FGM1D664,E7FGM1D66,SSY,BUY,1227,97.8703,2025-10-21,2025-10-21T16:47:29Z,USD,OTC,BOND,MED,FI-RATES,OMS_B,,,120086.8581,SSY,BOND,LOW,,,
TRD0000026,ORD0016247,CLT0069,US6GSR8OYL72,6GSR8OYL7,LUY,SELL,3504,93.7498,2025-10-21,2025-10-21T15:59:12Z,USD,ARCA,BOND,HIGH,FI-MUNI,OMS_A,,,328499.29919999995,LUY,BOND,LOW,APAC,,
TRD0000027,ORD0001431,CLT0177,USNTSH9S9Q90,NTSH9S9Q9,SKA,SELL,2182,100.5273,2025-10-21,2025-10-21T14:52:13Z,USD,NYSE,REPO,MED,FI-RATES,OMS_A,,,219350.5686,SKA,REPO,MED,APAC,,
TRD0000028,ORD0019343,CLT0257,US0Q0H0SH154,,MHR,BUY,1531,104.7221,2025-10-21,2025-10-21T19:41:43Z,USD,OTC,BOND,MED,FI-STRUCT,OMS_A,,,160329.5351,MHR,BOND,LOW,,,
TRD0000029,ORD0006067,CLT0368,US9IUTJUCI87,9IUTJUCI8,JLA,BUY,2316,102.2325,2025-10-21,2025-10-21T17:58:41Z,USD,NYSE,BOND,HIGH,FI-MUNI,OMS_A,,,236770.47,JLA,BOND,MED,,,
TRD0000030,ORD0002153,CLT0159,,,FBQO,SELL,937,99.4235,2025-10-21,2025-10-21T16:19:53Z,USD,NYSE,BOND,MED,FI-RATES,OMS_B,,,93159.8195,,,LOW,,,
TRD0000031,ORD0002175,CLT0339,USG5SIWKEK51,G5SIWKEK5,ATFD,BUY,3638,101.8018,2025-10-21,2025-10-21T15:15:33Z,USD,OTC,SWAP,MED,FI-STRUCT,OMS_B,,,370354.9484,ATFD,SWAP,MED,EMEA,,
TRD0000034,ORD0018296,CLT0478,USGL3VF36F53,GL3VF36F5,WPHK,BUY,1350,101.2567,2025-10-21,2025-10-21T15:54:05Z,USD,TRACE,BOND,MED,FI-MUNI,OMS_A,,,136696.54499999998,WPHK,BOND,LOW,,,
TRD0000035,ORD0001887,CLT0089,USLXEVL5QF75,LXEVL5QF7,ULQG,BUY,687,101.2642,2025-10-21,2025-10-21T15:35:01Z,USD,ARCA,BOND,MED,FI-MUNI,OMS_A,,,69568.5054,ULQG,BOND,MED,LATAM,,
TRD0000036,ORD0009675,CLT0412,USI50Z8KDK39,I50Z8KDK3,RACI,BUY,791,96.1613,2025-10-21,2025-10-21T18:15:02Z,USD,ARCA,OPTION,HIGH,FI-MUNI,OMS_A,,,76063.5883,RACI,OPTION,HIGH,,,
TRD0000037,ORD0015475,CLT0426,US60EPA84289,60EPA8428,ZGL,SELL,1898,105.901,2025-10-21,2025-10-21T16:51:51Z,EUR,OTC,BOND,HIGH,FI-MUNI,OMS_A,,,201000.098,ZGL,BOND,MED,,,
TRD0000038,ORD0007743,CLT0362,US6BETAFSO68,,TWYC,SELL,1107,98.2552,2025-10-21,2025-10-21T17:14:55Z,USD,TRACE,BOND,MED,FI-MUNI,OMS_A,,,108768.5064,TWYC,BOND,HIGH,APAC,,
TRD0000039,ORD0003093,CLT0013,USC7NXKGU477,C7NXKGU47,AYTV,SELL,2775,102.3322,2025-10-21,2025-10-21T17:11:23Z,USD,TRACE,BOND,MED,FI-MUNI,OMS_B,,,283971.855,AYTV,BOND,HIGH,,,
TRD0000040,ORD0016022,CLT0041,USLR3W2PIF63,LR3W2PIF6,YLV,SELL,1398,105.3585,2025-10-21,2025-10-21T14:40:27Z,JPY,TRACE,OPTION,HIGH,FI-MUNI,OMS_A,,,147291.18300000002,YLV,OPTION,HIGH,EMEA,,
TRD0000041,ORD0013629,CLT0354,,KRW2MS2I4,JDEV,BUY,2597,101.1127,2025-10-21,2025-10-21T15:37:21Z,USD,OTC,BOND,MED,FI-HY,OMS_A,,,262589.6819,,,LOW,,,
TRD0000042,ORD0004222,CLT0377,US79355V8T62,79355V8T6,VDWM,SELL,2247,96.9454,2025-10-21,2025-10-21T14:54:07Z,USD,NYSE,OPTION,LOW,FI-MUNI,OMS_B,,,217836.3138,VDWM,OPTION,LOW,EMEA,,
TRD0000044,ORD0010149,CLT0155,US9UUMOKA604,9UUMOKA60,BGYM,BUY,2389,102.7315,2025-10-21,2025-10-21T16:36:04Z,USD,TRACE,BOND,MED,FI-IG,OMS_A,,,245425.55349999998,BGYM,BOND,MED,APAC,,
TRD0000046,ORD0012879,CLT0238,USPL96T10D46,PL96T10D4,KSO,SELL,2037,103.9125,2025-10-21,2025-10-21T15:27:42Z,USD,NYSE,BOND,HIGH,FI-HY,OMS_B,,,211669.76249999998,KSO,BOND,LOW,APAC,,
TRD0000047,ORD0011969,CLT0393,USE9DMCQI130,E9DMCQI13,TRN,BUY,3069,99.3912,2025-10-21,2025-10-21T19:53:11Z,USD,OTC,SWAP,HIGH,FI-MUNI,OMS_A,,,305031.5928,TRN,SWAP,LOW,,,
TRD0000048,ORD0013045,CLT0053,USE1Z9L2VC93,E1Z9L2VC9,VSP,BUY,2180,107.7557,2025-10-21,2025-10-21T18:22:47Z,USD,OTC,FUTURE,LOW,FI-IG,OMS_A,,,234907.426,VSP,FUTURE,LOW,,,
TRD0000049,ORD0012326,CLT0302,USRX3KO1W256,RX3KO1W25,JQTF,SELL,938,95.018,2025-10-21,2025-10-21T13:47:57Z,USD,ARCA,REPO,HIGH,FI-MUNI,OMS_A,,,89126.884,JQTF,REPO,LOW,EMEA,,
TRD0000050,ORD0015066,CLT0135,USOZHB11CQ20,,CLM,BUY,2324,100.5821,2025-10-21,2025-10-21T14:56:59Z,USD,TRACE,BOND,HIGH,FI-RATES,OMS_A,,,233752.8004,CLM,BOND,LOW,,,
TRD0000051,ORD0003835,CLT0427,USDTLDQ40550,DTLDQ4055,SOCI,SELL,1186,105.0219,2025-10-21,2025-10-21T19:11:33Z,USD,TRACE,FUTURE,HIGH,FI-MUNI,OMS_A,,,124555.9734,SOCI,FUTURE,LOW,EMEA,,
TRD0000052,ORD0003129,CLT0128,USWVW3DMI540,WVW3DMI54,BYLK,BUY,2535,103.9936,2025-10-21,2025-10-21T18:26:46Z,USD,OTC,BOND,LOW,FI-MUNI,OMS_A,,,263623.776,BYLK,BOND,LOW,EMEA,,
TRD0000053,ORD0016652,CLT0380,,79355V8T6,VDWM,SELL,1866,103.3478,2025-10-21,2025-10-21T17:06:57Z,USD,OTC,OPTION,LOW,FI-STRUCT,OMS_A,,,192846.99480000001,,,MED,,,
TRD0000054,ORD0010257,CLT0275,USPZFF9DVJ52,PZFF9DVJ5,BMG,BUY,2623,95.6218,2025-10-21,2025-10-21T14:08:45Z,USD,NYSE,BOND,MED,FI-HY,OMS_A,,,250815.9814,BMG,BOND,MED,LATAM,,
TRD0000055,ORD0016995,CLT0046,USJCVZLKUP84,JCVZLKUP8,FDOG,SELL,642,100.9635,2025-10-21,2025-10-21T14:23:03Z,USD,TRACE,BOND,HIGH,FI-HY,OMS_A,,,64818.566999999995,FDOG,BOND,LOW,EMEA,,
TRD0000056,ORD0006304,CLT0378,US4U0H7WD510,4U0H7WD51,PZHX,BUY,2352,100.6079,2025-10-21,2025-10-21T15:59:05Z,EUR,TRACE,SWAP,HIGH,FI-HY,OMS_B,,,236629.7808,PZHX,SWAP,HIGH,EMEA,,
TRD0000057,ORD0000867,CLT0369,USCSOS0E1998,CSOS0E199,IDE,SELL,2198,95.4934,2025-10-21,2025-10-21T19:05:41Z,USD,TRACE,BOND,MED,FI-IG,OMS_B,,,209894.4932,IDE,BOND,LOW,APAC,,
TRD0000058,ORD0013107,CLT0224,USIEG4N4G634,IEG4N4G63,LMIZ,SELL,764,99.4481,2025-10-21,2025-10-21T16:51:22Z,USD,TRACE,BOND,MED,FI-MUNI,OMS_A,,,75978.3484,LMIZ,BOND,HIGH,APAC,,
TRD0000060,ORD0004058,CLT0410,USPBK47IW165,PBK47IW16,GKN,SELL,816,100.5631,2025-10-21,2025-10-21T13:32:05Z,USD,,BOND,HIGH,FI-IG,OMS_A,,,82059.4896,GKN,BOND,LOW,EMEA,,
TRD0000061,ORD0018048,CLT0139,USI5B6JU7E29,I5B6JU7E2,JGWM,BUY,3987,98.0481,2025-10-21,2025-10-21T16:57:21Z,USD,TRACE,SWAP,HIGH,FI-IG,OMS_A,,,390917.7747,JGWM,SWAP,LOW,,,
TRD0000063,ORD0002234,CLT0468,USBAYKTTE305,BAYKTTE30,LEWR,SELL,1627,111.8359,2025-10-21,2025-10-21T19:56:06Z,USD,BATS,FUTURE,HIGH,FI-HY,OMS_B,,,181957.0093,LEWR,FUTURE,LOW,APAC,,
TRD0000064,ORD0002470,CLT0191,USVMES24DL26,VMES24DL2,PGE,BUY,546,102.4745,2025-10-21,2025-10-21T18:34:43Z,USD,NYSE,OPTION,MED,FI-HY,OMS_A,,,55951.077000000005,PGE,OPTION,LOW,,,
TRD0000065,ORD0006071,CLT0196,US22R4YEVP18,22R4YEVP1,FMFE,BUY,1358,100.5259,2025-10-21,2025-10-21T18:11:07Z,GBP,TRACE,BOND,HIGH,FI-HY,OMS_B,,,136514.1722,FMFE,BOND,LOW,,,
TRD0000066,ORD0019707,CLT0342,US0824S5UG42,0824S5UG4,SOJJ,SELL,709,92.8272,2025-10-21,2025-10-21T18:30:46Z,USD,BATS,OPTION,MED,FI-MUNI,OMS_A,,,65814.4848,SOJJ,OPTION,MED,,,
TRD0000067,ORD0008848,CLT0391,USC97T78W339,,QTA,SELL,2580,98.9377,2025-10-21,2025-10-21T18:49:09Z,USD,OTC,BOND,MED,FI-IG,OMS_B,,,255259.266,QTA,BOND,HIGH,,,
TRD0000068,ORD0009543,CLT0422,USOUI9O64P20,OUI9O64P2,GCA,BUY,1821,101.5366,2025-10-21,2025-10-21T15:33:23Z,USD,NYSE,BOND,LOW,FI-MUNI,OMS_A,,,184898.14860000001,GCA,BOND,LOW,APAC,,
TRD0000069,ORD0005567,CLT0448,US6IGMTVO885,6IGMTVO88,HNT,BUY,1688,91.8754,2025-10-21,2025-10-21T14:09:34Z,USD,OTC,BOND,LOW,FI-STRUCT,OMS_A,,,155085.6752,HNT,BOND,MED,,,
TRD0000070,ORD0010186,CLT0010,USD20XA06293,D20XA0629,IZU,BUY,2406,97.1993,2025-10-21,2025-10-21T19:24:35Z,USD,BATS,BOND,HIGH,FI-STRUCT,OMS_A,,,233861.5158,IZU,BOND,HIGH,,,
TRD0000071,ORD0008619,CLT0439,USQOIXDSBV48,QOIXDSBV4,RKR,BUY,2118,97.7928,2025-10-21,2025-10-21T18:31:55Z,USD,OTC,FUTURE,MED,FI-MUNI,OMS_A,,,207125.1504,RKR,FUTURE,LOW,APAC,,
TRD0000074,ORD0010829,CLT0207,US03E1WNQP99,03E1WNQP9,XJTH,BUY,3528,108.9674,2025-10-21,2025-10-21T14:43:55Z,USD,OTC,BOND,HIGH,FI-HY,OMS_B,,,384436.9872,XJTH,BOND,HIGH,EMEA,,
TRD0000075,ORD0007160,CLT0204,US33GPJSHV20,33GPJSHV2,AXK,SELL,2785,113.3596,2025-10-21,2025-10-21T18:03:01Z,USD,NYSE,BOND,HIGH,FI-RATES,OMS_A,,,315706.486,AXK,BOND,LOW,,,
TRD0000076,ORD0005176,CLT0261,USE63TH1C602,E63TH1C60,UQPJ,SELL,1411,94.3306,2025-10-21,2025-10-21T16:13:56Z,USD,OTC,BOND,MED,FI-RATES,OMS_A,,,133100.4766,UQPJ,BOND,LOW,APAC,,
TRD0000077,ORD0002728,CLT0088,USJEMPIWJV46,JEMPIWJV4,QUSW,SELL,1949,90.2212,2025-10-21,2025-10-21T18:38:12Z,USD,TRACE,BOND,HIGH,FI-MUNI,OMS_A,,,175841.1188,QUSW,BOND,LOW,,,
TRD0000078,ORD0002821,CLT0440,USJZGV57L707,JZGV57L70,KSIP,SELL,4499,96.8398,2025-10-21,2025-10-21T13:30:43Z,EUR,NYSE,BOND,HIGH,FI-MUNI,,,,435682.26019999996,KSIP,BOND,LOW,,,
TRD0000079,ORD0000162,CLT0108,USIQ4673JW44,IQ4673JW4,VDY,SELL,5263,96.3446,2025-10-21,2025-10-21T16:54:14Z,USD,TRACE,BOND,HIGH,FI-STRUCT,OMS_A,,,507061.6298,VDY,BOND,LOW,,,
TRD0000080,ORD0016582,CLT0179,USOU4YV6IG90,OU4YV6IG9,CPEL,SELL,1986,107.6694,2025-10-21,2025-10-21T18:11:21Z,USD,OTC,BOND,MED,FI-IG,OMS_A,,,213831.4284,CPEL,BOND,MED,EMEA,,
TRD0000081,ORD0006693,CLT0344,USWZAQGP7926,WZAQGP792,JBUU,SELL,1448,101.4951,2025-10-21,2025-10-21T16:34:01Z,USD,ARCA,BOND,HIGH,FI-RATES,OMS_A,,,146964.9048,JBUU,BOND,LOW,APAC,,
TRD0000082,ORD0012018,CLT0400,USLNPTQ6QZ15,LNPTQ6QZ1,NSRC,BUY,1725,103.0675,2025-10-21,2025-10-21T19:35:53Z,USD,ARCA,BOND,HIGH,FI-IG,OMS_A,,,177791.4375,NSRC,BOND,MED,,,
TRD0000083,ORD0002774,CLT0455,USUN24BPYC78,UN24BPYC7,VXRL,SELL,1016,110.6415,2025-10-21,2025-10-21T17:14:27Z,USD,TRACE,BOND,HIGH,FI-MUNI,OMS_B,,,112411.764,VXRL,BOND,LOW,,,
TRD0000084,ORD0014638,CLT0039,USI50Z8KDK39,I50Z8KDK3,RACI,BUY,733,97.3874,2025-10-21,2025-10-21T15:42:17Z,EUR,BATS,OPTION,HIGH,FI-IG,OMS_A,,,71384.9642,RACI,OPTION,LOW,,,
TRD0000085,ORD0016799,CLT0079,USXGX2QCF414,XGX2QCF41,RCGP,SELL,590,106.5773,2025-10-21,2025-10-21T15:26:26Z,,ARCA,OPTION,MED,FI-RATES,OMS_B,,,62880.606999999996,RCGP,OPTION,LOW,LATAM,,
TRD0000087,ORD0003051,CLT0230,USBMMOQX8485,BMMOQX848,WKW,SELL,2450,99.0937,2025-10-21,2025-10-21T18:34:26Z,USD,TRACE,BOND,MED,FI-RATES,OMS_A,,,242779.565,WKW,BOND,HIGH,EMEA,,
TRD0000089,ORD0007030,CLT0468,US00LCK5N862,,EKR,BUY,1107,102.2971,2025-10-21,2025-10-21T16:41:29Z,USD,BATS,BOND,HIGH,FI-RATES,OMS_A,,,113242.8897,EKR,BOND,LOW,APAC,,
TRD0000090,ORD0004311,CLT0039,,RRCI5TQN4,CMSC,SELL,2038,96.8325,2025-10-21,2025-10-21T16:26:07Z,GBP,OTC,SWAP,MED,FI-MUNI,OMS_B,,,197344.63499999998,,,LOW,,,
TRD0000091,ORD0016269,CLT0154,USSB0UC8J830,SB0UC8J83,WUZ,SELL,1046,99.3951,2025-10-21,2025-10-21T14:14:01Z,USD,OTC,BOND,LOW,FI-IG,OMS_A,,,103967.2746,WUZ,BOND,LOW,,,
TRD0000092,ORD0017745,CLT0280,USIXC2DRAO64,IXC2DRAO6,RQC,SELL,3658,90.0659,2025-10-21,2025-10-21T17:08:02Z,USD,TRACE,BOND,HIGH,FI-IG,OMS_A,,,329461.0622,RQC,BOND,LOW,,,
TRD0000093,ORD0018879,CLT0379,USWV9Q8Y4210,WV9Q8Y421,OUA,BUY,2485,97.6404,2025-10-21,2025-10-21T16:00:05Z,EUR,TRACE,BOND,MED,FI-RATES,OMS_B,,,242636.394,OUA,BOND,HIGH,,,
TRD0000095,ORD0014991,CLT0424,USB9PSAAWU79,B9PSAAWU7,SHN,SELL,1637,102.461,2025-10-21,2025-10-21T13:50:49Z,USD,OTC,BOND,MED,FI-IG,OMS_B,,,167728.657,SHN,BOND,MED,APAC,,
TRD0000096,ORD0017823,CLT0381,,TE475Z1K3,SLUE,BUY,2451,97.0554,2025-10-21,2025-10-21T13:40:56Z,USD,OTC,OPTION,MED,FI-MUNI,OMS_A,,,237882.78540000002,,,LOW,APAC,,
TRD0000097,ORD0007555,CLT0210,USH1E8PWBR08,H1E8PWBR0,YMN,SELL,965,98.0129,2025-10-21,2025-10-21T18:51:17Z,USD,ARCA,FUTURE,HIGH,FI-IG,OMS_A,,,94582.4485,YMN,FUTURE,LOW,,,
TRD0000098,ORD0005698,CLT0368,USKUBOSK2I30,KUBOSK2I3,MXP,SELL,4354,98.5109,2025-10-21,2025-10-21T16:40:15Z,USD,NYSE,BOND,HIGH,FI-HY,OMS_A,,,428916.4586,MXP,BOND,MED,,,
TRD0000099,ORD0010265,CLT0420,,NY3E4FMM9,ZZI,BUY,2388,97.6377,2025-10-21,2025-10-21T17:25:07Z,EUR,OTC,BOND,MED,FI-HY,OMS_A,,,233158.8276,,,LOW,EMEA,,
TRD0000100,ORD0019790,CLT0478,,,MEFB,SELL,1422,99.0072,2025-10-21,2025-10-21T18:53:35Z,USD,OTC,BOND,HIGH,FI-IG,OMS_A,,,140788.2384,,,LOW,,,
TRD0000102,ORD0010077,CLT0109,US5W4XPREF52,5W4XPREF5,JPH,SELL,2231,104.2653,2025-10-21,2025-10-21T13:41:52Z,USD,,FUTURE,MED,FI-HY,OMS_A,,,232615.8843,JPH,FUTURE,HIGH,EMEA,,
TRD0000103,ORD0006533,CLT0370,US27LXUYQE37,27LXUYQE3,MDH,SELL,2778,99.0203,2025-10-21,2025-10-21T16:04:45Z,USD,TRACE,REPO,HIGH,FI-RATES,OMS_A,,,275078.3934,MDH,REPO,MED,,,
TRD0000104,ORD0009450,CLT0203,USGTN3GAZT99,GTN3GAZT9,MGEY,BUY,3081,100.42,2025-10-21,2025-10-21T19:05:08Z,USD,TRACE,BOND,HIGH,FI-HY,OMS_B,,,309394.02,MGEY,BOND,MED,APAC,,
TRD0000105,ORD0011696,CLT0155,USYK1WFS0017,YK1WFS001,FDI,BUY,1872,101.2273,2025-10-21,2025-10-21T19:12:09Z,USD,OTC,BOND,MED,FI-RATES,OMS_A,,,189497.5056,FDI,BOND,MED,APAC,,
TRD0000108,ORD0019991,CLT0128,USDG34VPD151,DG34VPD15,BNER,SELL,1842,103.0404,2025-10-21,2025-10-21T15:11:51Z,USD,OTC,BOND,MED,FI-RATES,OMS_A,,,189800.4168,BNER,BOND,LOW,EMEA,,
TRD0000109,ORD0007344,CLT0041,USM8CZZWYJ35,M8CZZWYJ3,RWCG,BUY,1577,96.8123,2025-10-21,2025-10-21T19:36:59Z,USD,BATS,SWAP,HIGH,FI-MUNI,OMS_A,,,152672.99709999998,RWCG,SWAP,HIGH,EMEA,,
TRD0000110,ORD0004752,CLT0024,USIEM6TFSJ96,IEM6TFSJ9,PHZ,BUY,1857,101.9895,2025-10-21,2025-10-21T19:17:30Z,EUR,OTC,REPO,LOW,FI-STRUCT,OMS_A,,,189394.5015,PHZ,REPO,HIGH,,,
TRD0000111,ORD0016159,CLT0010,USAER9EH2A57,AER9EH2A5,SGUL,SELL,3175,100.8426,2025-10-21,2025-10-21T14:23:41Z,USD,OTC,BOND,HIGH,FI-IG,OMS_A,,,320175.255,SGUL,BOND,HIGH,,,
TRD0000112,ORD0018614,CLT0401,US0R7OUCSA13,0R7OUCSA1,YEO,BUY,1361,106.3,2025-10-21,2025-10-21T16:07:08Z,USD,OTC,SWAP,LOW,FI-RATES,OMS_A,,,144674.3,YEO,SWAP,HIGH,,,
TRD0000113,ORD0001281,CLT0396,USVMES24DL26,VMES24DL2,PGE,SELL,957,96.3684,2025-10-21,2025-10-21T17:34:46Z,USD,ARCA,OPTION,MED,FI-HY,OMS_A,,,92224.5588,PGE,OPTION,LOW,,,
TRD0000114,ORD0000379,CLT0065,US9P3MI7RZ50,,CPRS,SELL,2231,104.0648,2025-10-21,2025-10-21T19:41:29Z,USD,NYSE,SWAP,MED,FI-MUNI,OMS_A,,,232168.5688,CPRS,SWAP,HIGH,,,
TRD0000115,ORD0002142,CLT0266,USSYU5LP8302,SYU5LP830,DKV,SELL,1275,111.6572,2025-10-21,2025-10-21T18:24:15Z,EUR,BATS,SWAP,HIGH,FI-STRUCT,OMS_B,,,142362.93,DKV,SWAP,HIGH,APAC,,
TRD0000117,ORD0010084,CLT0272,USZMXDK6EF76,ZMXDK6EF7,FNQW,SELL,1139,95.5901,2025-10-21,2025-10-21T13:46:18Z,USD,OTC,BOND,MED,FI-IG,,,,108877.1239,FNQW,BOND,LOW,,,
TRD0000118,ORD0014518,CLT0286,USRQB21CSA95,RQB21CSA9,GZC,SELL,1404,102.5484,2025-10-21,2025-10-21T18:33:03Z,GBP,OTC,BOND,LOW,FI-RATES,OMS_A,,,143977.9536,GZC,BOND,LOW,,,
TRD0000119,ORD0001336,CLT0363,US482IE04586,482IE0458,JHG,BUY,2086,107.6281,2025-10-21,2025-10-21T18:47:36Z,USD,TRACE,BOND,HIGH,FI-RATES,OMS_A,,,224512.2166,JHG,BOND,LOW,,,
TRD0000120,ORD0014712,CLT0387,USGOMPMT1B07,GOMPMT1B0,EPVK,SELL,1652,96.2146,2025-10-21,2025-10-21T19:31:19Z,GBP,OTC,SWAP,HIGH,FI-MUNI,OMS_B,,,158946.5192,EPVK,SWAP,LOW,APAC,,
TRD0000121,ORD0019825,CLT0201,USTH8737ID41,TH8737ID4,DDWK,SELL,3069,104.3124,2025-10-21,2025-10-21T14:06:53Z,USD,BATS,SWAP,HIGH,FI-IG,OMS_A,,,320134.7556,DDWK,SWAP,LOW,,,
TRD0000122,ORD0003080,CLT0251,US7KPJA7NO84,7KPJA7NO8,DOUG,SELL,4042,101.9035,2025-10-21,2025-10-21T13:57:53Z,GBP,ARCA,SWAP,MED,FI-MUNI,OMS_B,,,411893.947,DOUG,SWAP,LOW,APAC,,
TRD0000123,ORD0002101,CLT0487,USUHHRIQ4I47,UHHRIQ4I4,SRV,SELL,2131,101.2539,2025-10-21,2025-10-21T14:43:23Z,JPY,TRACE,BOND,HIGH,,OMS_A,,,215772.0609,SRV,BOND,LOW,EMEA,,
